[2023-01-21 13:11:28] No settings files found: /home/kyle/.local/share/Mindustry/settings.bin and /home/kyle/.local/share/Mindustry/settings_backup.bin
[2023-01-21 14:39:32] Saving 849 values; 28269 bytes
[2023-01-21 14:40:08] Saving 849 values; 28269 bytes
[2023-01-21 14:41:12] Saving 849 values; 28269 bytes
[2023-01-21 14:41:24] Saving 849 values; 28269 bytes
[2023-01-21 14:42:34] Saving 849 values; 28269 bytes
[2023-01-21 14:42:50] Saving 849 values; 28269 bytes
[2023-01-21 14:43:32] Saving 849 values; 28269 bytes
[2023-01-21 14:44:57] Saving 849 values; 28269 bytes
[2023-01-21 14:45:37] Saving 849 values; 28269 bytes
[2023-01-21 14:47:12] Saving 849 values; 28269 bytes
[2023-01-21 14:47:20] Saving 849 values; 28269 bytes
[2023-01-21 14:48:53] Saving 849 values; 28269 bytes
[2023-01-21 14:49:02] Saving 849 values; 28269 bytes
[2023-01-21 14:51:03] Saving 849 values; 28269 bytes
[2023-01-21 14:51:26] Saving 849 values; 28269 bytes
[2023-01-21 14:51:28] Saving 850 values; 28311 bytes
[2023-01-21 14:51:36] Saving 850 values; 28311 bytes
[2023-01-22 14:09:39] Loaded 850 values
[2023-01-22 14:09:39] Backed up /home/kyle/.local/share/Mindustry/settings.bin to /home/kyle/.local/share/Mindustry/settings_backup.bin (28311 bytes)
[2023-01-22 14:09:47] Saving 850 values; 28311 bytes
[2023-01-22 14:09:54] Saving 850 values; 28311 bytes
[2023-01-22 14:10:01] Saving 850 values; 28311 bytes
[2023-01-22 14:10:01] Saving 850 values; 28311 bytes
[2023-01-22 14:10:01] Saving 850 values; 28311 bytes
[2023-01-22 14:10:02] Saving 850 values; 28311 bytes
[2023-01-22 14:10:05] Saving 850 values; 28311 bytes
[2023-01-22 14:10:05] Saving 850 values; 28347 bytes
[2023-01-22 14:10:05] Saving 850 values; 28347 bytes
[2023-01-22 14:10:06] Saving 852 values; 28643 bytes
[2023-01-22 14:10:17] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:20] Saving 852 values; 28643 bytes
[2023-01-22 14:11:34] Saving 854 values; 28689 bytes
[2023-01-22 14:11:51] Saving 854 values; 29338 bytes
[2023-01-22 14:13:52] Saving 854 values; 29324 bytes
[2023-01-22 14:14:25] Saving 854 values; 29324 bytes
